uid,row,range,gen,average_GC,average_height,emergence,maximum_height,time_max_GC_DAE,yield
114,2,9,MSGG863-A2,56.03162232,37.36726403,35.45256372,1.123829101,30.52318113,812.1762
115,3,9,MSGG181-5,58.23769124,32.21636482,36.06101014,1.073881795,24.03997057,475.87485
116,4,9,W19013-8,55.72709937,32.85854949,37.63562201,1.158534431,24.2738286,585.0471
117,5,9,W19012-12,53.77598103,26.2965263,36.25468101,0.81642564,34.61396849,463.0065
118,6,9,W19027-7,55.0727515,28.56021581,35.28472748,0.876308708,32.1390618,657.0542
119,7,9,W19007-4,53.2002452,32.49530019,38.76065414,0.988861033,25.91338986,705.5994
120,8,9,W19020-20,52.38208725,28.09995277,36.97146168,0.937459129,35.78857023,558.1851
121,9,9,W17043-37,53.82680194,29.32233567,38.425398,1.13478906,29.25787557,716.04775
122,10,9,W19022-18,55.01808787,28.24308834,38.16399421,0.9665375,25.70739893,638.2145
123,11,9,W19030-1,52.79030445,31.21519476,38.59790197,1.091749889,31.63898975,654.5495
124,12,9,W19027-4,55.59554665,30.2253512,34.50077743,0.995978893,33.61886571,554.01665
125,13,9,W19027-58,57.90877796,34.11237214,38.21831798,1.166909153,20.20039234,655.37835
126,14,9,W17049-10,51.85564654,35.723378,40.17295551,1.200064989,28.23889657,541.3419
127,14,10,W19016-5,55.34322257,31.18100835,37.66156926,1.059058866,27.43605838,519.94305
128,13,10,ND1734-4,54.18928964,25.84286512,35.6000012,0.885699076,31.51084974,606.4278
129,12,10,Snowden,54.9499727,30.96176251,36.28136995,1.073284793,29.78723807,690.1235
130,11,10,W19028-6,54.18070711,28.19633641,39.01038879,0.89765929,24.5921614,494.36365
131,10,10,W19026-1,55.90431051,30.99105605,35.79034645,0.933100591,30.0232067,673.28635
132,9,10,MSGG194-3,55.61865673,31.62099168,35.67864864,0.911880874,31.97823996,881.35795
133,8,10,MSGG221-3,57.22551219,34.46057207,33.29920912,1.018315132,32.6365391,619.46555
134,7,10,W19012-30,57.99914556,36.59588012,35.4774026,1.095967878,25.3281463,584.0549
135,6,10,W19022-16,55.76176523,30.25472282,35.38378264,0.995056475,28.28571833,572.9713
136,5,10,W19009-23,54.3510363,31.2597176,37.63573133,1.025724983,29.31866482,468.32445
137,4,10,W19ND1810Y-10,55.96083231,36.41102674,36.96473271,1.1786205,25.96552613,666.42565
138,3,10,MSGG190-4,57.72391158,32.73882421,35.22978119,1.136578254,27.16901905,648.31195
139,2,10,FILL,51.86031167,25.54169367,34.53156854,0.96885748,34.62988854,
140,1,10,W19009-20,53.96574993,31.09376006,38.6158948,1.210152792,24.43560637,634.37275
141,1,11,W19027-32,57.56433415,31.75966143,36.23304235,1.037664271,23.77459535,676.4142
142,2,11,W19023-17,53.48705371,30.96606286,38.82202993,0.930949338,24.16351433,657.94355
143,3,11,W19022-9,50.73321687,27.90288249,40.40830249,1.058794006,27.00902879,457.99105
144,4,11,W19027-50,57.74084052,29.15116917,35.14626059,0.927466545,26.68361929,632.7453
145,5,11,W19027-13,52.11387267,29.20050549,39.45064778,0.919822751,25.11820565,466.4066
146,6,11,MSGG212-4,52.282164,33.41378012,37.38259493,1.081397762,35.2668576,636.15145
147,7,11,MSGG282-20,59.91678413,32.91904762,36.18862871,1.01288787,20.06904754,598.73825
148,8,11,W19028-2,53.74362882,33.56955293,39.55631839,1.139555144,22.88585494,529.9558
149,9,11,Atlantic,54.94187758,33.12240732,38.00713518,1.052115382,27.35340995,643.1997
150,10,11,W19023-21,53.4059675,33.28809919,36.89707688,0.892435335,34.0920213,578.0291
151,11,11,W19026-14,47.97287712,28.18026256,38.27309847,0.880661065,35.65814109,510.49295
152,12,11,W19031-8,54.50669354,35.5357922,37.1639796,1.019223657,31.06167779,695.93755
153,13,11,W19020-16,46.00669303,31.25266214,39.57610518,0.786123771,32.42534198,267.6762
154,14,11,W19019-2,46.67606377,32.5346428,39.20613005,0.919785104,36.32379317,448.17795
155,14,12,MSGG302-1,50.51822816,31.84487513,38.94089455,1.007513293,34.57656024,527.92905
156,13,12,W19027-17,53.08221386,25.25809098,39.2666469,0.84622154,29.44209352,392.3546
157,12,12,ND176Y-1,51.93389134,30.89304191,38.78311612,1.175441535,29.32004433,569.8253
158,11,12,W19026-21,53.51847421,30.0725697,36.48229143,1.105045893,28.22820716,664.82845
159,10,12,W17039-31,53.05219639,34.78867183,38.37213514,1.150475883,31.65470278,596.11255
160,9,12,W19009-26,53.8976722,32.14685608,39.15457181,1.13194456,24.28647544,526.5315
161,8,12,W19031-7,53.14112828,29.74794223,34.97601843,0.986464486,37.85962164,520.5299
162,7,12,MSGG302-3,54.94186055,30.17991189,37.71495721,0.962456997,25.31974563,545.9641
163,6,12,W19MSU1-21,54.36459632,30.85873708,37.44195175,0.900806655,30.76537219,547.18015
164,5,12,W19020-6,52.37217169,25.29464533,37.30409445,0.802688932,34.72627475,540.1077
165,4,12,MN19TX18120-1,50.36920683,27.36725741,38.44057381,0.842850619,34.12880696,317.8549
166,3,12,MSGG426-2,53.22246523,30.78715441,36.53514762,0.881860326,35.34718345,580.316
167,2,12,W16219-8,50.0926785,33.02858314,40.23216174,1.043057955,33.11479502,529.1814
168,1,12,W19032-4,50.47251598,28.91396447,39.25276054,0.914565049,31.67630109,488.34995
169,1,13,W19012-9,51.93906516,33.12383554,37.84248289,0.845852043,30.50851078,470.56295
170,2,13,W17065-11,52.85177015,37.47694794,37.67764217,1.063129005,33.64411431,585.6037
171,3,13,W19013-1,56.18708366,32.82662269,37.17042944,1.045126481,25.18636469,505.61665
172,4,13,W19022-25,56.30219493,27.46441087,37.79468992,0.944561236,24.02161511,405.471
173,5,13,W19013-4,54.71071958,33.83557998,35.64918113,1.044279219,27.74148268,473.26125
174,6,13,W19027-14,55.3017637,35.69376559,38.10928363,1.04093863,25.31398773,686.2757
175,7,13,W19MSU1-20,56.85642303,32.66693011,34.12732415,1.018964193,31.62173665,527.197
176,8,13,W19027-51,50.06578748,24.94661939,41.17690063,0.884884686,24.78349885,464.90015
177,9,13,ND1734-7,52.33712362,24.90066433,34.12799845,0.747162967,39.21450451,638.55935
178,10,13,W19003-6,52.55987474,28.41993254,38.87737311,0.90566996,26.20115074,473.67265
179,11,13,W19012-28,52.45437282,30.65306178,39.72138615,0.925293929,27.80089023,516.8031
180,12,13,W15200-3,53.8179224,28.93033145,39.13258742,1.081895721,27.27073623,433.41595
181,13,13,W17039-7,54.51508234,31.98885018,38.10626767,1.083085379,28.22918482,668.9848
182,14,13,Snowden,49.79121363,33.28357535,38.33378135,1.077956765,35.9175715,537.82685
183,14,14,FILL,50.94947554,24.60982696,37.86965557,0.754355271,30.8503614,
184,13,14,W19ND1810Y-5,49.2241212,25.28448616,38.60767776,1.00746838,33.74502123,381.25285
185,12,14,ND1789-1,53.99099719,26.63034679,39.00354008,1.089678331,26.35475509,610.46315
186,11,14,W19024-16,50.62253083,30.61006096,39.85844288,1.040932139,28.37264322,500.86135
187,10,14,W19003-3,50.88903963,29.84754642,39.74036024,0.967959754,32.68069605,414.5944
188,9,14,W19012-24,56.32450841,30.49213798,36.63392698,0.987578508,27.16328791,463.15775
189,8,14,W19022-2,49.35348107,30.20847904,40.50929801,1.090565744,27.98047412,379.6738
190,7,14,W19018-3,56.44990737,27.54539155,36.52864317,0.799379775,27.23031256,469.00205
191,6,14,W19027-37,52.87410227,24.88413185,38.84955316,0.755267857,30.29947131,639.17645
192,5,14,W19002-7,52.0766186,26.30158017,38.94937508,0.842652296,30.52947387,510.2086
193,4,14,Pike,44.88877094,25.2837634,39.80576886,0.807829728,36.12202995,413.14845
194,3,14,Lamoka,53.56581771,31.302669,38.92556205,0.987622277,28.00270505,462.8855
195,2,14,Hodag,54.38324889,33.75027624,37.56018002,0.966913646,30.41114065,676.5473
196,1,14,MSGG349-3,48.87165718,23.25136628,39.80764874,0.819572901,34.19086107,465.5838
